,videoId,publishedAt,title,viewCount,likeCount
0,BXHHOFPAypI,2024-03-26T19:39:36Z,Humboldt Logging Sports 2024,416,6
1,GpOplrOC7X0,2024-02-23T19:10:27Z,Move Into Your Future,144,4
2,ftG6_2mJ1sY,2024-02-02T22:55:16Z,Software Engineering at Cal Poly Humboldt,170,3
3,kUW6duHD2e8,2024-01-20T01:15:39Z,When Programmers need Botanists,323,11
4,fw9QWVUvpa8,2024-01-02T16:49:58Z,Happy New Year from Cal Poly Humboldt,1659,39
5,W60D6UMHC9U,2023-11-09T19:56:08Z,New Major: Humboldt Geospatial Science &amp; Technology,128,1
6,OqtqWymLE7o,2023-11-09T19:12:13Z,Soccer Sendoff!,87,1
7,pbuA-eb-krQ,2023-11-09T18:08:42Z,Major in Cannabis Studies,188,12
8,Ld38owMHw6k,2023-10-30T18:24:10Z,Humboldt Triathlon,326,11
9,K82XKtAXA6Q,2023-10-09T18:58:59Z,New Major - Individualized Degree Plan,258,3
10,n8hKMYXMUNk,2023-09-25T16:32:59Z,Fire Science at Humboldt,237,4
11,AjD6QKN9fsM,2023-09-05T17:05:16Z,CAL FIRE + Cal Poly Humboldt,340,9
12,RozpLq4L5i8,2023-08-22T22:31:55Z,Wildlife + Agriculture: Looking for a Win-Win,220,9
13,_V7S0NRr6nQ,2023-08-19T00:46:35Z,Move-In and Orientation Week!,1101,5
14,EFUd5aNVo58,2023-08-17T21:38:21Z,Protecting Culture from the Ground Up,36,0
15,1xhlzwUn9tE,2023-08-17T18:18:22Z,Future Found: Cal Poly Humboldt,3325,55
16,b-ceo-H9dWg,2023-08-16T20:17:46Z,Training the next generation of stem cell scientists,56,2
17,OAr-3isYAAA,2023-08-16T20:18:08Z,Healthcare Education Hub Press Conference,30,0
18,00oRFzD-A6c,2023-08-14T19:02:51Z,Learning In and From the Environment,322,13
19,9XecLGxsuu8,2023-08-08T22:22:45Z,Aquaculture Harvest at Cal Poly Humboldt,735,16
20,z4njCBblB6s,2022-10-27T19:27:30Z,Boldly Rising: The Campaign for Cal Poly Humboldt,905,14
21,0ZpK55S4wBc,2022-09-02T20:59:42Z,College Colors Day!,400,3
22,kfBo1vfVDQw,2022-09-01T01:31:02Z,President&#39;s Fall Welcome 2022,484,4
23,0VVd42ErYz0,2022-08-10T18:08:19Z,Deep In The Klamath,1209,25
24,bKry8poziwA,2022-06-24T22:01:45Z,Redwood Coast Airport Microgrid Grand Opening,125,1
25,As3iX6sU-vY,2022-06-21T18:51:12Z,"Solar Microgrids, Explained",2477,31
26,MxDDcObt9c4,2022-06-13T15:40:36Z,What Do Fiber Optic Cables Have To Do With Earthquakes?,900,18
27,Cro-gEPiBwo,2022-05-20T16:44:49Z,Honorary Doctorate of Humane Letters: Dr. Betty Kwann Chinn,232,5
28,O_sdefnSVcI,2022-05-16T16:52:56Z,IdeaFest Recap,477,14
29,r1FqsOyN80A,2022-05-16T16:42:21Z,2022: First Cal Poly Humboldt Graduates!,1187,6
30,FzusDIyK6Mg,2022-05-10T19:51:35Z,New Virtual Dissection Table,1001,6
31,5cTZFXTfZQo,2022-05-10T19:52:09Z,Distinguished Faculty Lecture: Japanese Incarceration &amp; the Politics of Dreaming w/ Michihiro Sugata,152,2
32,lies6wbrKCc,2022-03-17T01:14:44Z,Spring Break 2022: Student Projects!,265,8
33,02dnAkMHRYY,2022-01-31T23:56:04Z,Meet the Students Helping Kelp Come Back,612,10
34,NwQu8Z6Z2rU,2022-01-12T00:52:54Z,HSU&#39;s 2022 Calendar,194,10
35,7dIheA2l-38,2021-12-21T21:18:23Z,Fall Commencement 2021,159,4
36,TT1Ve-FN6Us,2021-12-21T21:03:11Z,A Mixed-media Masterclass,74,3
37,qJVCeX-0taM,2021-12-08T23:42:41Z,May 2022 bring you joy with the people you love.,2164,60
38,E2ahIKFLTys,2021-12-02T18:25:57Z,Humboldt&#39;s Polytechnic Vision,8441,127
39,xu_cEv90a6k,2021-11-19T03:30:11Z,Ellipsis... A physical theatre performance exploring the negative space,779,10
40,H92SkAwUpYY,2021-11-04T19:32:46Z,Redwoods Rising: Students restoring forestlands,770,19
41,fOD-onpsQEw,2021-09-28T17:01:20Z,Day in the life: Wildlife students practice tracking,371,18
42,waFiPc6nYiU,2021-09-21T15:26:49Z,Project Rebound,932,25
43,9lrKjX6sBuI,2021-08-19T17:29:21Z,Humboldt Points of Pride,1770,29
44,5fu83vIjC3E,2021-08-16T19:44:24Z,Welcome to Humboldt State: Move-in Day 2021,3443,97
45,0a18HqJq544,2021-07-08T04:41:25Z,ACV Microgrid Takeoff,599,4
46,v70eUlpL0Dw,2021-06-29T23:42:12Z,College Hacks in Three Minutes,331,8
47,OLBEpQe2puQ,2021-06-29T23:42:05Z,HSU Affording College,1505,8
48,ZlYlChEWdSE,2021-06-29T23:43:03Z,HSU Logging Sports 2015,1026,9
49,nVuZcf2RLeI,2021-06-29T23:41:59Z,Cal Poly Humboldt - Overview,7264,102
